ts_event,rtype,publisher_id,instrument_id,open,high,low,close,volume,symbol
2026-06-09T00:00:00.000000000Z,35,26,687865922,3.500000000,3.500000000,3.500000000,3.500000000,20,MSOX  270115C00001000
2026-06-09T00:00:00.000000000Z,35,29,687869153,1.950000000,1.950000000,1.950000000,1.950000000,1,MSOX  270115C00004000
2026-06-09T00:00:00.000000000Z,35,28,687867204,0.580000000,0.580000000,0.580000000,0.580000000,10,MSOX  260717P00004000
2026-06-09T00:00:00.000000000Z,35,28,687869128,1.100000000,1.100000000,1.100000000,1.100000000,2,MSOX  270115C00010000
2026-06-09T00:00:00.000000000Z,35,35,687867796,1.100000000,1.100000000,1.100000000,1.100000000,10,MSOX  260821C00005000
2026-06-09T00:00:00.000000000Z,35,37,687869128,1.100000000,1.150000000,1.100000000,1.150000000,6,MSOX  270115C00010000
2026-06-09T00:00:00.000000000Z,35,36,687869581,0.990000000,0.990000000,0.990000000,0.990000000,7,MSOX  260717C00004000
2026-06-09T00:00:00.000000000Z,35,33,687869581,1.250000000,1.250000000,1.250000000,1.250000000,100,MSOX  260717C00004000
2026-06-09T00:00:00.000000000Z,35,35,687869581,1.240000000,1.240000000,1.240000000,1.240000000,100,MSOX  260717C00004000
2026-06-09T00:00:00.000000000Z,35,26,687867511,1.130000000,1.130000000,1.130000000,1.130000000,2,MSOX  270115C00011000
2026-06-09T00:00:00.000000000Z,35,37,687869928,1.500000000,1.550000000,1.500000000,1.550000000,2,MSOX  270115C00005000
2026-06-09T00:00:00.000000000Z,35,22,687870384,0.330000000,0.330000000,0.330000000,0.330000000,2,MSOX  260717C00006000
2026-06-09T00:00:00.000000000Z,35,31,687866165,0.800000000,0.800000000,0.800000000,0.800000000,1,MSOX  260821C00006000
2026-06-09T00:00:00.000000000Z,35,21,687869581,0.880000000,0.880000000,0.880000000,0.880000000,50,MSOX  260717C00004000
2026-06-09T00:00:00.000000000Z,35,37,704645113,1.400000000,1.400000000,1.400000000,1.400000000,1,MSOX  260918C00004000
2026-06-09T00:00:00.000000000Z,35,61,704648524,0.400000000,0.400000000,0.300000000,0.300000000,6,MSOX  260618P00004000
2026-06-09T00:00:00.000000000Z,35,22,704646602,0.040000000,0.040000000,0.040000000,0.040000000,1,MSOX  260618C00010000
2026-06-09T00:00:00.000000000Z,35,24,704647600,0.050000000,0.050000000,0.050000000,0.050000000,19,MSOX  260618P00003000
2026-06-09T00:00:00.000000000Z,35,28,704645548,1.010000000,1.010000000,1.010000000,1.010000000,10,MSOX  260618P00005000
2026-06-09T00:00:00.000000000Z,35,24,704643558,0.150000000,0.150000000,0.150000000,0.150000000,10,MSOX  260618C00006000
2026-06-09T00:00:00.000000000Z,35,24,704644556,1.300000000,1.300000000,1.300000000,1.300000000,1,MSOX  260618C00003000
2026-06-09T00:00:00.000000000Z,35,26,704644556,1.080000000,1.080000000,1.080000000,1.080000000,1,MSOX  260618C00003000
2026-06-09T00:00:00.000000000Z,35,22,704648524,0.340000000,0.340000000,0.340000000,0.340000000,2,MSOX  260618P00004000
2026-06-09T00:00:00.000000000Z,35,26,704648524,0.200000000,0.200000000,0.200000000,0.200000000,1,MSOX  260618P00004000
2026-06-09T00:00:00.000000000Z,35,37,704643541,0.300000000,0.300000000,0.150000000,0.150000000,17,MSOX  260618C00005000
2026-06-09T00:00:00.000000000Z,35,29,704646616,0.900000000,0.900000000,0.900000000,0.900000000,5,MSOX  260618C00004000
2026-06-09T00:00:00.000000000Z,35,36,687865903,7.500000000,7.500000000,7.500000000,7.500000000,1,MSOX  270115P00011000
2026-06-09T00:00:00.000000000Z,35,22,687867783,1.140000000,1.140000000,1.140000000,1.140000000,4,MSOX  260821C00004000
2026-06-09T00:00:00.000000000Z,35,22,687869581,0.840000000,0.840000000,0.840000000,0.840000000,25,MSOX  260717C00004000
2026-06-09T00:00:00.000000000Z,35,26,687869928,1.950000000,1.950000000,1.950000000,1.950000000,1,MSOX  270115C00005000
2026-06-09T00:00:00.000000000Z,35,24,687867204,0.780000000,0.780000000,0.780000000,0.780000000,15,MSOX  260717P00004000
2026-06-09T00:00:00.000000000Z,35,27,704648524,0.180000000,0.180000000,0.180000000,0.180000000,5,MSOX  260618P00004000
2026-06-09T00:00:00.000000000Z,35,28,704647600,0.040000000,0.040000000,0.040000000,0.040000000,1,MSOX  260618P00003000
2026-06-09T00:00:00.000000000Z,35,37,704646616,0.600000000,0.600000000,0.400000000,0.400000000,142,MSOX  260618C00004000
2026-06-09T00:00:00.000000000Z,35,24,704648524,0.240000000,0.350000000,0.240000000,0.350000000,15,MSOX  260618P00004000
2026-06-09T00:00:00.000000000Z,35,36,704648524,0.230000000,0.270000000,0.230000000,0.270000000,300,MSOX  260618P00004000
2026-06-09T00:00:00.000000000Z,35,35,704644624,1.000000000,1.000000000,1.000000000,1.000000000,1,MSOX  261120C00010000
2026-06-09T00:00:00.000000000Z,35,26,704646616,0.700000000,0.700000000,0.450000000,0.450000000,2,MSOX  260618C00004000
2026-06-09T00:00:00.000000000Z,35,22,704643541,0.150000000,0.150000000,0.150000000,0.150000000,2,MSOX  260618C00005000
2026-06-09T00:00:00.000000000Z,35,35,704647600,0.040000000,0.050000000,0.030000000,0.030000000,78,MSOX  260618P00003000
2026-06-09T00:00:00.000000000Z,35,23,704645502,2.450000000,2.450000000,2.450000000,2.450000000,5,MSOX  261120C00003000
2026-06-09T00:00:00.000000000Z,35,24,704643541,0.350000000,0.350000000,0.350000000,0.350000000,1,MSOX  260618C00005000
2026-06-09T00:00:00.000000000Z,35,28,704643541,0.190000000,0.190000000,0.100000000,0.180000000,30,MSOX  260618C00005000
2026-06-09T00:00:00.000000000Z,35,26,704643541,0.150000000,0.150000000,0.150000000,0.150000000,25,MSOX  260618C00005000
2026-06-09T00:00:00.000000000Z,35,21,704644556,1.070000000,1.070000000,1.070000000,1.070000000,20,MSOX  260618C00003000
2026-06-09T00:00:00.000000000Z,35,32,704643541,0.150000000,0.150000000,0.150000000,0.150000000,13,MSOX  260618C00005000
2026-06-09T00:00:00.000000000Z,35,37,687867783,1.200000000,1.200000000,1.200000000,1.200000000,10,MSOX  260821C00004000
2026-06-09T00:00:00.000000000Z,35,35,687867965,0.700000000,0.700000000,0.700000000,0.700000000,5,MSOX  260717C00005000
2026-06-09T00:00:00.000000000Z,35,20,687867994,1.200000000,1.200000000,1.200000000,1.200000000,3,MSOX  260717C00003000
2026-06-09T00:00:00.000000000Z,35,35,687869928,1.520000000,1.520000000,1.520000000,1.520000000,1,MSOX  270115C00005000
2026-06-09T00:00:00.000000000Z,35,61,687869581,0.900000000,0.900000000,0.900000000,0.900000000,50,MSOX  260717C00004000
2026-06-09T00:00:00.000000000Z,35,37,687866403,0.300000000,0.300000000,0.300000000,0.300000000,5,MSOX  260717C00007000
2026-06-09T00:00:00.000000000Z,35,61,687869153,1.900000000,1.900000000,1.900000000,1.900000000,2,MSOX  270115C00004000
2026-06-09T00:00:00.000000000Z,35,28,687868802,0.230000000,0.230000000,0.230000000,0.230000000,10,MSOX  260717P00003000
2026-06-09T00:00:00.000000000Z,35,28,704646616,0.660000000,0.660000000,0.390000000,0.390000000,37,MSOX  260618C00004000
2026-06-09T00:00:00.000000000Z,35,27,704645502,2.150000000,2.150000000,2.150000000,2.150000000,2,MSOX  261120C00003000
2026-06-09T00:00:00.000000000Z,35,35,704645113,1.440000000,1.440000000,1.440000000,1.440000000,5,MSOX  260918C00004000
2026-06-09T00:00:00.000000000Z,35,22,704643558,0.100000000,0.100000000,0.100000000,0.100000000,2,MSOX  260618C00006000
2026-06-09T00:00:00.000000000Z,35,27,704647600,0.040000000,0.040000000,0.040000000,0.040000000,49,MSOX  260618P00003000
2026-06-09T00:00:00.000000000Z,35,21,704643541,0.140000000,0.140000000,0.140000000,0.140000000,3,MSOX  260618C00005000
